annee,budget,casting_principal,director,duree,genre,langue,nbre_vote,nombre_vote,pays,pegi,popularite_score,release_date_france,scenaristes,score,title
1992,No budget,"Michael Paul Girard,Jan Marlyn Reesman,Michael Paul Girard",Michael Paul Girard,0,"Comedy,Horror,Thriller",English,,183,Canada,1h 25m,No Popularity Score,,Michael Paul Girard,3.8,Body Parts
TV Movie,No budget,"Susan Snooks,Stars,Lou Reed",Susan Snooks,25m,"Documentary,Music",English,,0,Canada,1983,No Popularity Score,,Susan Snooks,0.0,The Making of Rock & Rule
1983,"$8,000,000 (estimated)","Clive A. Smith,Writers,Patrick Loubert",Clive A. Smith,1h 17m,"Animation,Fantasy,Music","English,French",,4K,Canada,PG,No Popularity Score,"December 6, 1988",Clive A. Smith,6.4,Rock & Rule
Video,No budget,"Yoshiaki Kawajiri,Takuji Endo,David Abramowitz",Yoshiaki Kawajiri,Unrated,"Animation,Action,Fantasy","Japanese,English",,4K,"United States,Japan,Hong Kong",2007,No Popularity Score,"June 9, 2010",Yoshiaki Kawajiri,6.7,Highlander: The Search for Vengeance
1995,No budget,"Kôji Morimoto,Tensai Okamura,Katsuhiro Ôtomo",Kôji Morimoto,1h 53m,"Animation,Sci-Fi,Thriller","Japanese,English,Italian",,21K,Japan,PG-13,No Popularity Score,"August 4, 2004",Kôji Morimoto,7.5,Memories
Video,No budget,No Casting,No Director,5m,"Animation,Short,Action",English,,0,United States,2000,No Popularity Score,,No Writers,0.0,Manga Video Commercial
2001,No budget,"Directors,Shin'ichirô Watanabe,Mary Elizabeth McGlynn",Directors,1h 55m,"Animation,Action,Crime","Japanese,English",,53K,"Japan,United States",TV-14,No Popularity Score,"October 1, 2003",Directors,7.8,Cowboy Bebop: The Movie
2014,"¥120,000,000 (estimated)","Tsuneo Kobayashi,Writers,Maruo Kyôzuka",Tsuneo Kobayashi,1h 52m,"Animation,Action,Adventure",Japanese,,18K,Japan,TV-14,No Popularity Score,"May 13, 2015",Tsuneo Kobayashi,7.6,The Last: Naruto the Movie
2004,No budget,"Alan Clontz,Brian Moore,Alan Clontz",Alan Clontz,0,"Short,Comedy",English,,15,United States,5m,No Popularity Score,,Alan Clontz,7.5,AMV Hell
2005,No budget,"Hirotsugu Kawasaki,Masashi Kishimoto,Hirotsugu Kawasaki",Hirotsugu Kawasaki,1h 37m,"Animation,Action,Adventure",Japanese,,5.1K,Japan,TV-14,No Popularity Score,"June 17, 2009",Hirotsugu Kawasaki,6.4,Naruto the Movie 2: Legend of the Stone of Gelel
Video,No budget,"Stars,Jason Bergenfeld,Maile Flanagan",Stars,Not Rated,"Documentary,Short",English,,26,United States,2007,No Popularity Score,,Stars,7.2,Shonen Jump: Naruto the Movie - Ninja Clash in the Land of Snow - Making Movies Ninja Style
1983,No budget,"Dean Shek,Kwai-Chung Chiu,Raymond Pak-Ming Wong",Dean Shek,0,"Comedy,Romance","Cantonese,Mandarin",,14,Hong Kong,1h 35m,No Popularity Score,,Dean Shek,4.8,The Perfect Wife
2023,No budget,"Haruo Sotozaki,Koyoharu Gotouge,Stars",Haruo Sotozaki,1h 50m,"Animation,Action,Adventure",Japanese,,11K,Japan,R,"4,389","February 25, 2023",Haruo Sotozaki,7.5,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village
Video Game,No budget,"Junichi Kashiwagi,Akira Toriyama,Stars",Junichi Kashiwagi,T,"Action,Fantasy,Sci-Fi","Japanese,English",,535,"Japan,United States",2002,No Popularity Score,,Junichi Kashiwagi,7.3,Dragon Ball Z: Budokai
Video Game,No budget,"Toby Fox,Toby Fox,Toby Fox",Toby Fox,E10+,"Adventure,Comedy,Drama",English,,4.6K,United States,2015,No Popularity Score,,Toby Fox,8.8,Undertale
2018,"$75,000,000 (estimated)","Ol Parker,Writers,Ol Parker",Ol Parker,1h 54m,"Comedy,Musical,Romance","English,French,Greek",,108K,"United Kingdom,United States,Japan,China,Croatia",PG-13,"1,356","July 25, 2018",Ol Parker,6.6,Mamma Mia! Here We Go Again
2011,"$90,000,000 (estimated)","Carlos Saldanha,Writers,Carlos Saldanha",Carlos Saldanha,1h 36m,"Animation,Adventure,Comedy","English,Russian,Portuguese,Ukrainian,Arabic,Spanish,Brazilian Sign Language",,248K,"United States,United Kingdom",PG,"1,760","April 13, 2011",Carlos Saldanha,6.9,Rio
Video Game,No budget,No Casting,No Director,E,Adventure,English,,310,Finland,2012,No Popularity Score,,No Writers,6.5,Bad Piggies
Video Game,No budget,"Jeremy Vanhoozer,Writers,Chris Borders",Jeremy Vanhoozer,E10+,"Action,Adventure,Comedy",English,,598,United States,2016,No Popularity Score,,Jeremy Vanhoozer,7.2,Plants vs. Zombies Garden Warfare 2
2010,"$69,000,000 (estimated)","Pierre Coffin,Chris Renaud,Cinco Paul",Pierre Coffin,1h 35m,"Animation,Adventure,Comedy","English,Russian,Ukrainian",,583K,"United States,France",PG,"1,497","August 3, 2010",Pierre Coffin,7.6,Despicable Me
Video Game,No budget,"Michel Ancel,Frederic Houde,Stars",Michel Ancel,K-A,"Action,Adventure,Family",No Language,,811,France,1995,No Popularity Score,,Michel Ancel,7.5,Rayman
Video Game,No budget,"Mandy Benanav,Stars,Andrew Morgado",Mandy Benanav,E10+,"Action,Adventure,Comedy",English,,1.2K,United States,2020,No Popularity Score,,Mandy Benanav,7.8,Crash Bandicoot 4: It's About Time
TV Special,No budget,"Stars,Kevin Aymeric,Arnaud Baudry",Stars,1h 49m,Family,English,,0,United States,2022,No Popularity Score,,Stars,0.0,49th Annie Awards
1990,"$13,500,000 (estimated)","Steve Barron,Writers,Kevin Eastman",Steve Barron,1h 33m,"Action,Adventure,Comedy","English,French",,105K,"Hong Kong,United States",PG,"1,412","December 12, 1990",Steve Barron,6.8,Teenage Mutant Ninja Turtles
1983,"$9,000,000 (estimated)","Terry Jones,Writers,Graham Chapman",Terry Jones,1h 47m,"Comedy,Musical",English,,125K,United Kingdom,R,No Popularity Score,"May 9, 1983",Terry Jones,7.5,The Meaning of Life
2004,"$19,500,000 (estimated)","Directors,Ryûhei Kitamura,Koji Hashimoto",Directors,2h 5m,"Action,Adventure,Fantasy","Japanese,English,Cantonese",,9.6K,"Japan,Australia,China,United States",PG-13,No Popularity Score,"June 29, 2005",Directors,6.3,Godzilla: Final Wars
1982,"$50,000,000 (estimated)","John Huston,Writers,Carol Sobieski",John Huston,2h 7m,"Comedy,Drama,Family",English,,49K,United States,PG,"1,551","October 27, 1982",John Huston,6.6,Annie
1952,No budget,"Akira Kurosawa,Akira Kurosawa,Shinobu Hashimoto",Akira Kurosawa,2h 23m,Drama,"Japanese,Latin,English,French",,87K,Japan,Not Rated,"3,512","August 31, 1966",Akira Kurosawa,8.3,Ikiru
Video,No budget,"Joe Sichta,Joe Sichta,Stars",Joe Sichta,Not Rated,"Animation,Adventure,Comedy",English,,3.5K,"United States,South Korea",2008,No Popularity Score,"October 29, 2008",Joe Sichta,6.3,Scooby-Doo and the Goblin King
Video,No budget,"Jim Stenstrum,Writers,Mark Turosz",Jim Stenstrum,Unrated,"Animation,Action,Adventure",English,,9.6K,United States,2001,No Popularity Score,"July 3, 2002",Jim Stenstrum,7.0,Scooby-Doo and the Cyber Chase
Video,No budget,"Jim Stenstrum,Writers,Glenn Leopold",Jim Stenstrum,TV-G,"Animation,Adventure,Comedy",English,,18K,United States,1998,No Popularity Score,"October 17, 2001",Jim Stenstrum,7.7,Scooby-Doo on Zombie Island
Video,No budget,"Joe Sichta,Writers,George Doty IV",Joe Sichta,G,"Animation,Adventure,Comedy",English,,4.5K,United States,2005,No Popularity Score,"March 30, 2006",Joe Sichta,6.6,Scooby-Doo in Where's My Mummy?
1989,"$48,000,000 (estimated)","Steven Spielberg,Writers,Jeffrey Boam",Steven Spielberg,2h 7m,"Action,Adventure","English,German,Greek,Latin,Italian",,809K,United States,PG-13,931,"October 18, 1989",Steven Spielberg,8.2,Indiana Jones and the Last Crusade
Video Game,No budget,"Will Binder,Jane Jensen,Stars",Will Binder,M,"Adventure,Drama,Horror","German,English",,852,"Canada,United States",1995,No Popularity Score,,Will Binder,8.9,The Beast Within: A Gabriel Knight Mystery
Video Game,No budget,"Sean Clark,Writers,Steven Spielberg",Sean Clark,K-A,"Adventure,Drama,Sci-Fi",English,,979,United States,1995,No Popularity Score,,Sean Clark,8.5,The Dig
Video Game,No budget,"Noah Falstein,David Fox,Ron Gilbert",Noah Falstein,0,"Action,Adventure,Fantasy",English,,648,United States,1989,No Popularity Score,,Noah Falstein,8.1,Indiana Jones and the Last Crusade: The Graphic Adventure
Video Game,No budget,"Craig Derrick,Ron Gilbert,Stars",Craig Derrick,E10+,"Adventure,Comedy,Fantasy",English,,161,United States,2009,No Popularity Score,,Craig Derrick,8.6,The Secret of Monkey Island: Special Edition
Video Game,No budget,"Dave Grossman,Writers,Ian Dallas",Dave Grossman,T,"Adventure,Comedy",English,,85,United States,2007,No Popularity Score,,Dave Grossman,8.1,Sam and Max: Ice Station Santa
Video Game,No budget,"Stars,Parveen Dosanjh,Bomba Estéreo",Stars,0,Sport,English,,1.7K,Canada,2015,No Popularity Score,,Stars,7.1,FIFA 16
Video Game,No budget,"Ben Irving,Jesse Sky,Writers",Ben Irving,T,"Action,Adventure,Fantasy",English,,444,"United States,Canada",2015,No Popularity Score,,Ben Irving,8.4,Star Wars: The Old Republic - Knights of the Fallen Empire
Video Game,No budget,"Scott Cawthon,Scott Cawthon,Stars",Scott Cawthon,E10+,"Adventure,Fantasy,Horror",English,,634,No Country,2016,No Popularity Score,,Scott Cawthon,5.7,Five Nights at Freddy's World
Video Game,No budget,"Directors,Hez Chorba,Bernd Diemer",Directors,T,"Action,Adventure,Fantasy","English,Portuguese",,8K,"Sweden,United States",2017,No Popularity Score,,Directors,7.3,Star Wars: Battlefront II
Video Game,No budget,"Casey Hudson,Writers,David Gaider",Casey Hudson,T,"Action,Adventure,Fantasy",English,,9.3K,"Canada,United States",2003,No Popularity Score,,Casey Hudson,9.5,Star Wars: Knights of the Old Republic
Video Game,No budget,"Dave Mervik,Stars,Anna Moberg",Dave Mervik,T,"Adventure,Horror",,,3.8K,Sweden,2017,No Popularity Score,,Dave Mervik,8.2,Little Nightmares
Video Game,No budget,"Ed Boon,Martin Stoltz,Writers",Ed Boon,M,"Action,Adventure,Fantasy",English,,1.1K,"United States,Canada",2023,No Popularity Score,,Ed Boon,8.3,Mortal Kombat 1
Video Game,No budget,"Michael Condrey,Warren Ellis,Antony Johnston",Michael Condrey,M,"Action,Horror,Mystery",English,,11K,United States,2008,No Popularity Score,,Michael Condrey,8.8,Dead Space
Video Game,No budget,"Grant Harvey,Clint Hocking,Kent Hudson",Grant Harvey,M,"Action,Crime,Drama",English,,1.7K,"Canada,Japan,United States,United Kingdom",2020,No Popularity Score,,Grant Harvey,6.6,Watch Dogs: Legion
Video Game,No budget,"Jean-Sebastien Decant,Patrick Methe,Writers",Jean-Sebastien Decant,M,"Action,Adventure,Crime",English,,2.4K,Canada,2019,No Popularity Score,,Jean-Sebastien Decant,6.7,Far Cry New Dawn
Video Game,No budget,"Patrick Methe,Writers,Mark Thompson",Patrick Methe,M,"Action,Adventure,Crime","English,Hindi",,11K,Canada,2014,No Popularity Score,,Patrick Methe,8.1,Far Cry 4
Video Game,No budget,"Stars,Mike Erwin,David Hayter",Stars,0,"Animation,Action,Adventure",English,,0,United States,2004,No Popularity Score,,Stars,0.0,Jampack Vol. 11
Video Game,No budget,"Stars,John Aspinwall,Nathan Bosia",Stars,0,No kind,English,,0,United States,2000,No Popularity Score,,Stars,0.0,Playstation Underground: Issue 4.1
Video Game,No budget,"Davide Soliani,Nicolas Vitte,Florian Landouzy",Davide Soliani,E10+,"Action,Adventure,Comedy",English,,549,"France,Italy",2017,No Popularity Score,,Davide Soliani,7.5,Mario + Rabbids Kingdom Battle
Video Game,No budget,No Casting,No Director,E,"Action,Adventure,Family","Japanese,English",,141,"United States,Japan",2023,No Popularity Score,"November 17, 2023",No Writers,8.4,Super Mario RPG
Video Game,No budget,"Tatsuya Kamiyama,Shinya Kumazaki,Masahiro Sakurai",Tatsuya Kamiyama,E10+,"Action,Adventure,Family",English,,467,"Japan,United States",2022,No Popularity Score,,Tatsuya Kamiyama,8.3,Kirby and the Forgotten Land
TV Special,No budget,"Hamish Hamilton,Dan Harmon,J.D. Ryznar",Hamish Hamilton,0,Music,English,,133,United States,2006,No Popularity Score,,Hamish Hamilton,4.4,2006 MTV Video Music Awards
Video Game,No budget,"Masaki Furusawa,Shin Sonoda,Hiroyuki Numoto",Masaki Furusawa,T,"Action,Adventure,Family",Japanese,,312,Japan,2014,No Popularity Score,,Masaki Furusawa,7.4,Hyrule Warriors
Video Game,No budget,"Koichi Hayashida,Stars,Charles Martinet",Koichi Hayashida,E,"Action,Adventure,Family",Japanese,,2.7K,Japan,2013,No Popularity Score,,Koichi Hayashida,8.5,Super Mario 3D World
Video Game,No budget,"Yosuke Oshino,Stars,Dan Falcone",Yosuke Oshino,E,"Action,Family",English,,949,Japan,2019,No Popularity Score,,Yosuke Oshino,8.3,Super Mario Maker 2
Video Game,No budget,"Toshio Iwai,Toshio Iwai,Toshio Iwai",Toshio Iwai,E,Music,"Japanese,English",,19,Japan,2005,No Popularity Score,,Toshio Iwai,7.9,Erekutoropurankuton
Video Game,No budget,"Eric Chahi,Rebecca Ann Heineman,Montana Loran",Eric Chahi,T,"Action,Adventure,Sci-Fi",English,,530,France,1991,No Popularity Score,,Eric Chahi,8.0,Out of This World
Video Game,No budget,"Charles Addams,Charles Addams",Charles Addams,0,"Adventure,Family,Sci-Fi",English,,77,Japan,1989,No Popularity Score,,Charles Addams,5.3,Uncle Fester's Quest: The Addams Family
Video Game,No budget,No Casting,No Director,M,"Western,Adult",English,,34,United States,1982,No Popularity Score,,No Writers,3.0,Custer's Revenge
Video Game,No budget,"Ruth Handler,Ruth Handler",Ruth Handler,0,No kind,No Language,,20,United States,1991,No Popularity Score,,Ruth Handler,2.9,Barbie
Video Game,No budget,"Steve Cross,Steve Cross",Steve Cross,0,Sport,English,,10,United Kingdom,1999,No Popularity Score,,Steve Cross,4.7,Spirit of Speed 1937
Video Game,No budget,"Tetsuya Nomura,Writers,Tetsuya Nomura",Tetsuya Nomura,E,"Action,Adventure,Family","Japanese,English",,7.9K,"Japan,United States",2002,No Popularity Score,"November 20, 2002",Tetsuya Nomura,9.2,Kingdom Hearts
1999,"$170,000,000 (estimated)","Barry Sonnenfeld,Writers,Jim Thomas",Barry Sonnenfeld,1h 46m,"Action,Comedy,Sci-Fi",English,,167K,United States,PG-13,"3,631","August 4, 1999",Barry Sonnenfeld,4.9,Wild Wild West
Video Game,No budget,"Tetsuya Nomura,Tai Yasue,Masaru Oka",Tetsuya Nomura,E10+,"Action,Adventure,Family","Japanese,English",,582,Japan,2017,No Popularity Score,,Tetsuya Nomura,8.5,Kingdom Hearts HD 2.8 Final Chapter Prologue
Video Game,No budget,"Will Wright,Will Wright",Will Wright,K-A,No kind,English,,24,United States,1991,No Popularity Score,,Will Wright,6.8,SimEarth: The Living Planet
2005,"$50,000,000 (estimated)","Jay Chandrasekhar,Writers,Gy Waldron",Jay Chandrasekhar,1h 44m,Comedy,English,,82K,United States,PG-13,"3,664","August 24, 2005",Jay Chandrasekhar,5.1,The Dukes of Hazzard
Music Video,No budget,"Stars,Body Count,Ernie-c",Stars,TV-MA,"Comedy,Music",English,,0,United States,1992,No Popularity Score,,Stars,0.0,Body Count: There Goes the Neighborhood
1973,"$275,000 (estimated)","George A. Romero,Paul McCollough,George A. Romero",George A. Romero,1h 43m,"Action,Horror,Sci-Fi",English,,15K,United States,R,No Popularity Score,"July 5, 1979",George A. Romero,6.1,The Crazies
Video,"$290,000 (estimated)","Les Rayburn Jr.,Les Rayburn,Les Rayburn Jr.",Les Rayburn Jr.,18m,Short,English,,0,United States,2003,No Popularity Score,,Les Rayburn Jr.,0.0,Identity Crisis
TV Movie,No budget,"Brad Turner,Writer,Bruce Zimmerman",Brad Turner,R,"Crime,Mystery",English,,594,"United States,Canada",2000,No Popularity Score,"February 11, 2001",Brad Turner,6.0,The Inspectors 2: A Shred of Evidence
1989,"$10,000 (estimated)","Stars,Charlie Brewer,Geoff Brewer",Stars,0,"Documentary,Short",English,,0,"United States,Philippines",12m,No Popularity Score,,Stars,0.0,Chopper Down: Helicopter Deaths in the Movies
1981,No budget,"Jim Greco,Jim Greco,Stars",Jim Greco,0,"Short,Horror",English,,0,United States,28m,No Popularity Score,,Jim Greco,0.0,Stranglehold
TV Movie,"$2,500,000 (estimated)","Griff Furst,David Reed,Stars",Griff Furst,R,"Action,Adventure,Comedy",English,,5.4K,"United States,Bulgaria",2010,No Popularity Score,"December 1, 2010",Griff Furst,3.3,Lake Placid 3
Video,No budget,"Brett Kelly,Writers,Brett Kelly",Brett Kelly,33m,"Short,Comedy,Sci-Fi",English,,126,Canada,2004,No Popularity Score,,Brett Kelly,2.8,"Spacemen, Go-go Girls and the True Meaning of Christmas"
TV Movie,No budget,"Richard Clabaugh,Writers,Phillip J. Roth",Richard Clabaugh,R,"Action,Comedy,Horror",English,,3.9K,United States,2000,No Popularity Score,"April 6, 2004",Richard Clabaugh,3.6,Python
TV Movie,"$1,825,000 (estimated)","Griff Furst,Writers,Eric Forsberg",Griff Furst,TV-14,"Fantasy,Horror",English,,3.3K,United States,2013,No Popularity Score,"December 5, 2013",Griff Furst,3.3,Ghost Shark
2013,"$135,000,000 (estimated)","David Soren,Writers,David Soren",David Soren,1h 36m,"Animation,Adventure,Comedy",English,,110K,"United States,India",PG,"2,093","October 16, 2013",David Soren,6.4,Turbo
1981,No budget,"Burt Reynolds,William Diehl,Gerald Di Pego",Burt Reynolds,2h 2m,"Action,Crime,Drama","English,French,Italian",,6.7K,United States,R,No Popularity Score,"July 13, 1982",Burt Reynolds,6.3,Sharky's Machine
2014,No budget,"Anthony Banua-Simon,Anthony Banua-Simon",Anthony Banua-Simon,0,Short,English,,0,United States,No Pegi,No Popularity Score,,Anthony Banua-Simon,0.0,Kauai Thru Hollywood
Video,No budget,"Leigh Scott,Leigh Scott",Leigh Scott,4m,"Documentary,Short",English,,30,United States,2006,No Popularity Score,,Leigh Scott,1.0,Exorcism: The Possession of Gail Bowers - Behind the Scenes
2005,"$19,000,000 (estimated)","Scott Derrickson,Paul Harris Boardman,Scott Derrickson",Scott Derrickson,1h 59m,"Drama,Horror,Thriller","English,Syriac,German,Greek,Hebrew,Latin,Aramaic",,140K,United States,PG-13,"4,623","December 7, 2005",Scott Derrickson,6.7,The Exorcism of Emily Rose
Video,No budget,"Gary Hertz,Stars,Sergio Sollima",Gary Hertz,15m,Short,English,,7,United States,2001,No Popularity Score,,Gary Hertz,7.6,Shooting Violent City
2016,"$25,000 (estimated)","Scott Rhodes,Writers,Scott Rhodes",Scott Rhodes,1h 25m,"Action,Comedy,Sci-Fi","English,French,Spanish,Dutch",,96,United States,Not Rated,No Popularity Score,,Scott Rhodes,7.8,They Call Me Superseven
1976,No budget,No Casting,No Director,0,"Documentary,Short",English,,0,United States,10m,No Popularity Score,,No Writers,0.0,The Making of 'Mako: The Jaws of Death'
1981,"CA$4,100,000 (estimated)","David Cronenberg,David Cronenberg,Stars",David Cronenberg,1h 43m,"Horror,Sci-Fi,Thriller",English,,62K,Canada,R,"4,273",,David Cronenberg,6.7,Scanners
TV Movie,No budget,"Jen Adcock,Stars,Richard Crouse",Jen Adcock,1h,Documentary,English,,61,Canada,2004,No Popularity Score,,Jen Adcock,7.4,Nightmare in Canada: Canadian Horror on Film
Video,No budget,"Lisa Van Eyssen,John Cork,Stars",Lisa Van Eyssen,20m,"Documentary,Short",English,,19,United States,2008,No Popularity Score,,Lisa Van Eyssen,6.7,"Dreaming with Scissors: Hitchcock, Surrealism & Salvador Dali"
1942,No budget,"Archie Mayo,Fritz Lang,John O'Hara",Archie Mayo,1h 34m,"Crime,Drama,Film-Noir",English,,2.2K,United States,Approved,No Popularity Score,"October 25, 1944",Archie Mayo,6.8,Moontide
Video,No budget,"Daniel Griffith,Joe Adamson,Justin Humphreys",Daniel Griffith,37m,Short,English,,0,United States,2022,No Popularity Score,,Daniel Griffith,0.0,A Fellow Journeyman: Byron Haskin at Paramount
1953,No budget,"Arthur Lubin,Writers,Edwin Blum",Arthur Lubin,1h 39m,"Action,Adventure,Comedy","English,French,Japanese,Mandarin",,873,United States,Passed,No Popularity Score,"November 23, 1962",Arthur Lubin,6.2,South Sea Woman
2004,No budget,"Theodoros Angelopoulos,Writers,Theodoros Angelopoulos",Theodoros Angelopoulos,0,"Drama,History,Romance",Greek,,5.3K,"Greece,France,Italy,Germany",2h 50m,No Popularity Score,"July 14, 2004",Theodoros Angelopoulos,7.9,Trilogia: To livadi pou dakryzei
2004,No budget,"Jianjun He,Zi'en Cui,Jianjun He",Jianjun He,0,"Comedy,Crime,Drama",Mandarin,,98,China,1h 30m,No Popularity Score,,Jianjun He,6.6,Man yan
2010,No budget,"Zhangke Jia,Zhangke Jia,Stars",Zhangke Jia,0,"Documentary,History",Mandarin,,831,China,1h 56m,No Popularity Score,"May 16, 2010",Zhangke Jia,6.9,I Wish I Knew
Video,No budget,"Peter Jackson,Writers,Philippa Boyens",Peter Jackson,PG-13,"Action,Adventure,Drama",English,,552,United States,2014,No Popularity Score,,Peter Jackson,8.6,The Hobbit: The Desolation of Smaug - Extended Edition Scenes
1980,No budget,"Carlos Diegues,Carlos Diegues,Leopoldo Serran",Carlos Diegues,1h 50m,Drama,Portuguese,,1.9K,"France,Brazil,Argentina",R,No Popularity Score,"May 16, 1980",Carlos Diegues,7.4,Bye Bye Brazil
2018,"$50,000,000 (estimated)","Peter Berg,Writers,Graham Roland",Peter Berg,1h 34m,"Action,Thriller","English,Russian,Indonesian,Filipino",,87K,"United States,China",R,No Popularity Score,"August 29, 2018",Peter Berg,6.1,Mile 22
2006,No budget,"Roar Uthaug,Writers,Thomas Moldestad",Roar Uthaug,1h 37m,"Horror,Thriller",Norwegian,,20K,Norway,Not Rated,No Popularity Score,"March 18, 2009",Roar Uthaug,6.2,Cold Prey
2011,No budget,"J.L. Carrozza,J.L. Carrozza,Tun-Fei Mou",J.L. Carrozza,0,"Documentary,Biography,History",English,,34,United States,1h 35m,No Popularity Score,,J.L. Carrozza,6.6,Black Sunshine: Conversations with T.F. Mou
2003,"$150,000,000 (estimated)","Lana Wachowski,Lilly Wachowski,Writers",Lana Wachowski,2h 9m,"Action,Sci-Fi","English,French",,542K,"United States,Australia",R,"2,834","November 5, 2003",Lana Wachowski,6.7,The Matrix Revolutions
2019,No budget,"Eva Orner,Stars,Larissa Anderson",Eva Orner,1h 26m,"Documentary,Crime",English,,8.3K,United States,TV-MA,No Popularity Score,"November 20, 2019",Eva Orner,6.7,"Bikram: Yogi, Guru, Predator"
Music Video,No budget,"Jerry Kramer,Stars,Michael Jackson",Jerry Kramer,10m,"Comedy,Fantasy,Music",English,,904,United States,1988,No Popularity Score,,Jerry Kramer,7.5,Michael Jackson: Speed Demon
Video,No budget,"Ábel Visky,Stars,Attila Gigor",Ábel Visky,25m,"Documentary,Short",Hungarian,,0,Hungary,2017,No Popularity Score,,Ábel Visky,0.0,Így készült a Kút
TV Special,"$4,000,000 (estimated)","Hamish Hamilton,Stars,Alessandra Ambrosio",Hamish Hamilton,45m,Documentary,English,,272,United States,2007,No Popularity Score,,Hamish Hamilton,7.7,The Victoria's Secret Fashion Show
Video,No budget,"David Cronenberg,Vince Locke,Josh Olson",David Cronenberg,3m,"Short,Action,Crime",English,,97,United States,2006,No Popularity Score,,David Cronenberg,7.2,A History of Violence: Deleted Scene - Scene 44
2020,No budget,"Jarand Herdal,Jarand Herdal,Stars",Jarand Herdal,1h 26m,"Drama,Horror,Thriller",Norwegian,,12K,Norway,TV-MA,No Popularity Score,"October 22, 2020",Jarand Herdal,5.2,Cadaver
2020,No budget,"John Whitesell,Tiffany Paulsen,Stars",John Whitesell,1h 44m,"Comedy,Romance","English,Mandarin",,79K,United States,TV-MA,No Popularity Score,"October 28, 2020",John Whitesell,6.1,Holidate
2022,No budget,"Jalmari Helander,Jalmari Helander,Stars",Jalmari Helander,1h 31m,"Action,War","English,Finnish",,74K,"Finland,United Kingdom,United States",R,531,"April 10, 2023",Jalmari Helander,6.9,Sisu
2022,"$22,500,000 (estimated)","Russell Crowe,Writers,Stephen M. Coates",Russell Crowe,1h 34m,"Action,Crime,Thriller",English,,13K,United States,Not Rated,"4,839","April 1, 2023",Russell Crowe,5.2,Poker Face
2020,No budget,"Remi Weekes,Remi Weekes,Felicity Evans",Remi Weekes,1h 33m,"Drama,Horror,Thriller","English,Dinka",,48K,United Kingdom,TV-14,"4,113","October 30, 2020",Remi Weekes,6.5,His House
2002,"€8,000,000 (estimated)","François Ozon,Writers,François Ozon",François Ozon,1h 51m,"Comedy,Crime,Musical","French,English",,34K,"France,Italy",R,No Popularity Score,"January 8, 2002",François Ozon,7.0,8 Women
2008,No budget,"Pino Insegno,Gianluca Sodaro,Francesca Draghetti",Pino Insegno,0,Comedy,Italian,,174,Italy,No Pegi,No Popularity Score,,Pino Insegno,3.7,Ti stramo: Ho voglia di un'ultima notte da manuale prima di tre baci sopra il cielo
2022,"$4,500,000 (estimated)","Danny Philippou,Michael Philippou,Danny Philippou",Danny Philippou,1h 35m,"Horror,Thriller","English,Greek",,138K,"Australia,United Kingdom",R,240,"July 26, 2023",Danny Philippou,7.1,Talk to Me
1967,No budget,"Seth Holt,Meade Roberts,Andrew York",Seth Holt,1h 32m,"Action,Drama,Thriller","English,French",,509,United Kingdom,Approved,No Popularity Score,"November 8, 1968",Seth Holt,5.5,Danger Route
2005,No budget,"Nacer Khemir,Tonino Guerra,Nacer Khemir",Nacer Khemir,1h 36m,Drama,"Persian,Arabic",,3.7K,"Tunisia,Hungary,France,Germany,Iran,Switzerland,United Kingdom",Not Rated,No Popularity Score,"November 24, 2005",Nacer Khemir,7.5,Bab'Aziz: The Prince That Contemplated His Soul
1994,"$1,900,000 (estimated)","Milcho Manchevski,Milcho Manchevski,Stars",Milcho Manchevski,1h 53m,"Drama,Romance,War","Macedonian,English,Albanian,French,German",,16K,"United Kingdom,France,North Macedonia",Not Rated,No Popularity Score,"November 16, 1994",Milcho Manchevski,7.9,Before the Rain
1972,No budget,"Theodoros Angelopoulos,Writers,Theodoros Angelopoulos",Theodoros Angelopoulos,0,"Drama,History","English,Greek",,1.2K,Greece,1h 45m,No Popularity Score,May 1973,Theodoros Angelopoulos,6.9,Days of '36
2012,No budget,"Im Sang-soo,Im Sang-soo,Stars",Im Sang-soo,1h 55m,"Drama,Thriller","Korean,English,Tagalog",,1.7K,South Korea,Unrated,No Popularity Score,"May 26, 2012",Im Sang-soo,5.7,The Taste of Money
2018,"$880,000 (estimated)","Aneesh Chaganty,Aneesh Chaganty,Sev Ohanian",Aneesh Chaganty,1h 42m,"Drama,Mystery,Thriller",English,,179K,"United States,Russia",PG-13,"4,545","September 1, 2018",Aneesh Chaganty,7.6,Searching
2010,"€1,948,000 (estimated)","Jalmari Helander,Writers,Jalmari Helander",Jalmari Helander,1h 24m,"Adventure,Fantasy,Horror","Finnish,English",,32K,"Finland,Norway,France,Sweden",R,No Popularity Score,"November 12, 2010",Jalmari Helander,6.6,Rare Exports
1995,"$50,000,000 (estimated)","William Friedkin,Joe Eszterhas,Stars",William Friedkin,1h 35m,"Crime,Drama,Thriller",English,,14K,United States,R,No Popularity Score,"November 29, 1995",William Friedkin,5.3,Jade
2002,"€19,000,000 (estimated)","Jean-Marie Poiré,Writers,Jean-Marie Poiré",Jean-Marie Poiré,1h 42m,Comedy,"English,Italian,French",,805,"France,Germany",Not Rated,No Popularity Score,"September 25, 2002",Jean-Marie Poiré,3.9,My Wife Maurice
