actors,director,entrees_fr,entrees_usa,image_urls,nationalite,semaine_fr,semaine_usa,studio,timing,title,titre_original
"Virginie Van Robby,Lucie Debay,Anne Coesens","Audrey Estrougo,Audrey Estrougo",1150,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/02/17/08/47/5214462.jpg,france,06/04/2022 au 13/04/2022,,damned distribution,0,à la folie,pas de titre original
"Louis Garrel,Camille Cottin,Ina Marija Bartaité","Rachel Lang (II),Rachel Lang (II)",19728,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/09/13/15/46/0371345.jpg,france,06/10/2021 au 13/10/2021,,bac films,0,mon légionnaire,pas de titre original
"Ismail Adouab,Anas Basbousi,Meriem Nekkach","Nabil Ayouch,Nabil Ayouch",15126,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/07/13/17/40/0679940.jpg,maroc,17/11/2021 au 24/11/2021,,ad vitam,0,haut et fort,pas de titre original
"Salim Daw,Hiam Abbass,Maisa Abd Elhadi","Arab Nasser,Tarzan Nasser,Arab Nasser,Tarzan Nasser",15130,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/09/03/17/40/1874978.jpg,france,06/10/2021 au 13/10/2021,,dulac distribution,0,gaza mon amour,pas de titre original
"Taylor Russell,Logan Miller,Thomas Cocquerel","Adam Robitel,Will Honley,Maria Melnik",82707,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/08/02/12/58/0884782.jpg,u.s.a.,11/08/2021 au 18/08/2021,,sony pictures releasing france,0,escape game 2 - le monde est un piège,escape room: tournament of champions
"Jeffrey Dean Morgan,Katie Aselton,William Sadler","Evan Spiliotopoulos,Evan Spiliotopoulos",19511,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/06/15/11/07/2290910.jpg,u.s.a.,14/07/2021 au 21/07/2021,,sony pictures releasing france,0,la chapelle du diable,the unholy
"Laetitia Dosch,Pierre Deladonchamps,Paul Kircher","Eve Deboise,Eve Deboise",5854,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/04/08/11/02/5856209.jpg,france,04/05/2022 au 11/05/2022,,kmbo,0,petite leçon d’amour,pas de titre original
"Nuno Lopes,Albano Jerónimo,Edgar Morais","Tiago Guedes,Tiago Rodrigues,Tiago Guedes",1884,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/26/13/28/5761817.jpg,portugal,08/02/2023 au 15/02/2023,,alfama films,0,traces,restos do vento
"Alba Rohrwacher,Wajdi Mouawad,Isabelle Zighondi","Chloé Mazlo,Chloé Mazlo,Yacine Badday",13219,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/04/29/11/56/3845461.jpg,france,30 juin au 7 juillet 2021,,ad vitam,0,sous le ciel d’alice,pas de titre original
"Karen Gillan,Lena Headey,Michelle Yeoh","Navot Papushado,Navot Papushado,Ehud Lavski",10853,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/06/29/15/47/1361027.jpg,u.s.a.,21/07/2021 au 28/07/2021,,studiocanal,0,bloody milkshake,gunpowder milkshake
"Daniel Kaluuya,Lakeith Stanfield,Jesse Plemons","Shaka King,Shaka King,Will Berson",2000000,,https://fr.web.img2.acsta.net/c_310_420/pictures/21/01/29/10/11/0547305.jpg,u.s.a.,12/02/2021 au 15/02/2021,,4 prix et 8 nominations,0,judas and the black messiah,pas de titre original
"Eric Zanetacci,Maud Imbert,Angélique Atlan","Laurent Firode,Laurent Firode",76,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/02/21/12/09/5945128.jpg,france,12/04/2023 au 19/04/2023,,bon voyage films,0,le monde d’après 2,pas de titre original
"Amir El-Masry,Vikash Bhai,Ola Orebiyi","Ben Sharrock,Ben Sharrock",3912,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/03/15/15/17/1725453.jpg,grande-bretagne,04/05/2022 au 11/05/2022,,l'atelier distribution,0,limbo,pas de titre original
"Miranda Tapsell,Sophie Pyronnet,Miranda Tapsell","Ricard Cussó,Peter Ivan,Ryan Greaves",50457,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/04/24/11/12/3949045.jpg,australie,17/05/2023 au 24/05/2023,,alba films,0,l'arbre à voeux,the wishmas tree
"Abdirisak Mohamed,Daphne Patakia,Pierre Lottin","Guillaume Bonnier,Guillaume Bonnier",397,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/20/10/36/2329118.jpg,france,05/07/2023 au 12/07/2023,,à vif cinémas / the dark,0,tout le monde m'appelle mike,pas de titre original
"Chantal Ladesou,Patrick Chesnais,Julie Gayet","Gabriel Julien-Laferrière,Gabriel Julien-Laferrière,Sébastien Mounier",120764,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/06/21/10/09/0267195.jpg,france,11/08/2021 au 18/08/2021,,ugc distribution,0,c'est quoi ce papy ?!,pas de titre original
"Bastien Ughetto,Catherine Deneuve,Thomas Solivérès","Benoît Mariage,Benoît Mariage",2117,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/03/22/15/53/4271051.jpg,belgique,19/04/2023 au 26/04/2023,,kmbo,0,"habib, la grande aventure",pas de titre original
"Niels Arestrup,Patrick Bruel,Irène Jacob","Bernard Stora,Bernard Stora,Pascale Robert-Diard",67576,,https://fr.web.img5.acsta.net/c_310_420/pictures/20/09/21/13/11/3389026.jpg,france,02/06/2021 au 9/06/2021,,bac films,0,villa caprice,pas de titre original
"Conrad Mericoffer,Alexandru Potocean,Radouan Leflahi","Eugen Jebeleanu,Ioana Moraru",1436,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/09/01/18/13/0968486.jpg,roumanie,28 septembre au 5 octobre 2022,,optimale distribution,0,poppy field,câmp de maci
"Valérie Donzelli,Thomas Scimeca,Yannick Choirat","Matthieu Rozé,Matthieu Rozé",11228,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/01/20/14/35/0150456.jpg,france,30 mars au 6 avril 2022,,paname distribution,0,azuro,pas de titre original
"Semyon Serzin,Chulpan Khamatova,Yulia Peresild","Kirill Serebrennikov,Kirill Serebrennikov",8947,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/07/01/12/58/0535380.jpg,france,01/12/2021 au 8/12/2021,,bac films,0,la fièvre de petrov,petrov's flu
"Bakary Koné,Steve Tientcheu,Digbeu Jean Cyrille","Philippe Lacôte,Philippe Lacôte",2258,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/08/24/15/40/4768814.jpg,france,08/09/2021 au 15/09/2021,,jhr films,0,la nuit des rois,pas de titre original
"Laura Muller,Schemci Lauth","Julien Hilmoine,Julien Hilmoine",1084,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/03/09/15/41/4417995.jpg,france,06/04/2022 au 13/04/2022,,local films,0,la nuit aux amants,pas de titre original
"Steve Carell,Rose Byrne,Chris Cooper","Jon Stewart,Jon Stewart",9006,,https://fr.web.img3.acsta.net/c_310_420/pictures/20/06/18/10/56/4695206.jpg,u.s.a.,01/07/2020 au 8/07/2020,,universal pictures international france,0,irresistible,pas de titre original
"Noémie Merlant,Emmanuelle Bercot,Bastien Bouillon","Zoé Wittock,Zoé Wittock",4793,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/02/25/15/53/5705746.jpg,belgique,01/07/2020 au 8/07/2020,,rezo films,0,jumbo,pas de titre original
"Marie Braam,Angourie Rice,Jean-Michel Vovk","Ricard Cussó,Ryan Greaves",25332,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/08/03/15/56/5184546.jpg,australie,30 août au 6 septembre 2023,,alba films,0,le rêve de daisy,daisy quokka: world's scariest animal
"Catherine Frot,Mahamadou Yaffa,Jean-Henri Compère","Claus Drexel,Claus Drexel,Olivier Brunhes",7734,,https://fr.web.img3.acsta.net/c_310_420/pictures/20/02/27/10/33/0452990.jpg,france,26 mai au 2 juin 2021,,diaphana distribution,0,sous les étoiles de paris,
"Robert De Niro,Oakes Fegley,Uma Thurman","Tim Hill,Tom J. Astle,Matt Ember",50862,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/09/10/13/26/4562652.jpg,u.s.a.,07/10/2020 au 14/10/2020,,alba films,0,mon grand-père et moi,the war with grandpa
"Rasmus Bjerg,Zaki Youssef,Bjørn Sundquist","Thomas Daneskov,Thomas Daneskov,Morten Pape",5004,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/04/15/46/1188862.jpg,danemark,24/08/2022 au 31/08/2022,,star invest films france,0,wild men,vildmænd
"Yolande Moreau,Gustave Kervern,François Morel","Pascal Rabaté,Pascal Rabaté",8798,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/12/14/15/49/1628543.jpg,france,20/04/2022 au 27/04/2022,,jour2fête,0,les sans-dents,pas de titre original
"Vicky Krieps,Tim Roth,Mia Wasikowska","Mia Hansen-Løve,Mia Hansen-Løve",31781,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/06/10/17/23/5771143.jpg,france,14/07/2021 au 21/07/2021,,les films du losange,0,bergman island,pas de titre original
"Tomasz Kot,Athena Strates,Marta Nieto","Kike Maillo,Cristina Clemente,Fernando Navarro",2824,,https://fr.web.img5.acsta.net/c_310_420/pictures/20/10/06/09/27/0136578.jpg,espagne,2021/01/2022 au 5/01/2022,,alba films,0,a perfect enemy,pas de titre original
"Tanguy Mercier,Nadia Tereszkiewicz,Félix Maritaud","Fabienne Berthaud,Fabienne Berthaud,Gladys Marciano",2313,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/04/04/14/31/5381878.jpg,france,11/05/2022 au 18/05/2022,,haut et court,0,tom,pas de titre original
"Devin France,Yashua Mack,Gage Naquin","Benh Zeitlin,Benh Zeitlin,Eliza Zeitlin",8414,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/12/08/10/01/2419334.jpg,u.s.a.,23/06/2021 au 30/06/2021,,condor distribution,0,wendy,pas de titre original
"Jasmine Trinca,Alessandro Borghi,Greta Scarano","Paolo Genovese,Paolo Genovese,Rolando Ravello",5141,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/07/11/13/36/2858368.jpg,italie,03/08/2022 au 10/08/2022,,l'atelier distribution,0,amants super-héroïques,supereroi
"Franz Rogowski,Georg Friedrich,Anton von Lucke","Sebastian Meise,Thomas Reider,Sebastian Meise",10070,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/01/06/14/11/1125017.jpg,autriche,09/02/2022 au 16/02/2022,,paname distribution,0,great freedom,große freiheit
"Philippe Caubère,Bruno Raffaelli,Anna Choupisson","Yuri Norstein,Roman Kachanov,Eduard Nazarov",3154,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/02/17/11/56/1880060.jpg,urss,05/04/2023 au 12/04/2023,,malavida films,0,le petit hérisson dans la brume et autres merveilles,pas de titre original
"Mirko Gianinni,Jehnny Beth,Bastien Bouillon","David Depesseville,David Depesseville",3109,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/01/03/16/37/0636621.jpg,france,08/02/2023 au 15/02/2023,,new story,0,astrakan,pas de titre original
"Claude Mathieu,Anne Kessler,Eric Genovese","Christophe Honoré,Christophe Honoré",5141,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/09/10/13/55/1581473.jpg,france,29 septembre au 6 octobre 2021,,memento distribution,0,guermantes,pas de titre original
"Ana Cabral,Ruben Pimenta,Cristiana Branquinho","Claudia Varejão,Claudia Varejão,Leda Cartum",974,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/03/22/15/19/1693771.jpg,portugal,12/04/2023 au 19/04/2023,,epicentre films,0,loup & chien,lobo e cão
"Ara Alejandra Medal,Virginia Raquel Sevilla Garcia,Noé Hernandez","Laura Baumeister de Montis,Laura Baumeister de Montis",206,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/08/09/14/11/1196786.jpg,nicaragua,13/09/2023 au 20/09/2023,,tamasa distribution,0,la hija de todas las rabias,pas de titre original
"Thomas Scimeca, Usé,Jonathan Capdevielle","Sébastien Betbeder,Sébastien Betbeder",3364,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/06/07/14/43/3529677.jpg,france,14/09/2022 au 21/09/2022,,rezo films,0,tout fout le camp,pas de titre original
"Toni Servillo,Silvio Orlando,Fabrizio Ferracane","Leonardo Di Costanzo,Leonardo Di Costanzo,Bruno Oliviero",5159,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/20/11/43/5854939.jpg,italie,16/11/2022 au 23/11/2022,,survivance,0,ariaferma,pas de titre original
"Alma Pöysti,Krista Kosonen,Shanti Roney","Zaida Bergroth,Eeva Putro",2306,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/09/17/35/5469690.jpg,finlande,01/03/2023 au 8/03/2023,,outplay films,0,tove,pas de titre original
"Takahide Hori,Yuji Sugiyama,Atsuko Miyake","Takahide Hori,Takahide Hori",6264,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/03/25/20/32/0573184.jpg,japon,18/05/2022 au 25/05/2022,,ufo distribution,0,junk head,pas de titre original
"Jean-Claude Drouot, Cali,Danièle Evenou","Alan Simon,Alan Simon",40,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/04/20/15/23/0028812.jpg,france,17/05/2023 au 24/05/2023,,babaika,0,monsieur constant,pas de titre original
"Paolo Cossi,Jacopo Elia,Denise Trombin","Michelangelo Frammartino,Michelangelo Frammartino,Giovanna Giuliani",5839,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/04/01/16/37/0325754.jpg,italie,04/05/2022 au 11/05/2022,,les films du losange,0,il buco,pas de titre original
"Patrick d'Assumçao,Sofia Lesaffre,Laetitia Casta","Frédéric Videau,Frédéric Videau",5704,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/01/18/10/32/2209612.jpg,france,23 février au 2 mars 2022,,pyramide distribution,0,selon la police,pas de titre original
"Claudia Grob,Anaïs Uldry,Kassia da Costa","Frédéric Baillif,Frédéric Baillif",1709,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/02/11/25/4220046.jpg,suisse,09/03/2022 au 16/03/2022,,l'atelier distribution,0,la mif,pas de titre original
"Joel Courtney,Anna Grace Barlow,Kimberly Williams-Paisley","Jon Erwin,Brent McCorkle,Jon Erwin,Jon Gunn",15802615,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/24/10/38/1732599.jpg,u.s.a.,24/02/2023 au 27/02/2023,,,0,jesus revolution,pas de titre original
"Pierre Colleau,Elyes Sabyani,Séléna Diouf","Alexandre Lemoine-Courx,Alexandre Lemoine-Courx",95,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/11/03/17/03/4123964.jpg,france,03/01/2024 au 10/01/2024,,cinéma saint-andré des arts,0,la hess,pas de titre original
"Kylian Trouillard,Kylian Trouillard,Alexis Victor","Ben Stassen,Jérémie Degruson,Bob Barlen,Cal Brunker",84767,,https://fr.web.img3.acsta.net/c_310_420/pictures/20/06/23/11/55/2307228.jpg,belgique,05/08/2020 au 12/08/2020,,apollo films,0,bigfoot family,big foot family
"Arielle Dombasle,Aurélien Recoing,Louka Meliava","Jean-Marie Besset,Jean-Marie Besset",114,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/03/24/17/08/4718052.jpg,france,21/06/2023 au 28/06/2023,,panoceanic films,0,la fille et le garçon,pas de titre original
"María Morera,Nicolle García,Vicky Peña","Clara Roquet,Clara Roquet",7245,,https://fr.web.img3.acsta.net/c_310_420/pictures/21/07/08/15/25/1784880.jpg,espagne,06/04/2022 au 13/04/2022,,epicentre films,0,libertad,pas de titre original
"Yuliya Vysotskaya,Vladislav Komarov,Andrey Gusev","Andrey Konchalovsky,Andrey Konchalovsky,Elena Kiseleva",9240,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/07/19/14/56/4015042.jpg,russie,01/09/2021 au 8/09/2021,,potemkine films,0,chers camarades !,dear comrades
"Nadine Labaki,Saleh Bakri,Nadia Charbel","Mounia Akl,Clara Roquet,Mounia Akl",6597,,https://fr.web.img2.acsta.net/c_310_420/pictures/22/06/14/16/37/4980124.jpg,liban,27 juillet au 3 août 2022,,eurozoom,0,"costa brava, lebanon",pas de titre original
"Frank Welker,Will Forte,Zac Efron","Tony Cervone,Adam Sztykiel,Jack Donaldson",191223,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/06/24/14/34/3337477.jpg,u.s.a.,08/07/2020 au 15/07/2020,,warner bros. france,0,scooby !,scoob!
"Hye-yeong Lee,Kim Min-Hee,Young-hwa Seo","Hong Sang-Soo,Hong Sang-Soo",8960,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/19/16/26/2639956.jpg,corée du sud,15/02/2023 au 22/02/2023,,arizona distribution,0,"la romancière, le film et le heureux hasard",so-seol-ga-ui yeong-hwa
,"Sung-ah Min,Miyoung Baek",6853,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/11/25/14/56/2428297.jpg,corée du sud,01/02/2023 au 8/02/2023,,cinéma public films,0,piro piro,pas de titre original
"Jérémie Renier,Alma Jodorowsky,Emmanuelle Bercot","Stephan Streker,Stephan Streker",6436,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/11/26/12/00/5634188.jpg,belgique,26 janvier au 2 février 2022,,alba films,0,l'ennemi,pas de titre original
"Azhy Robertson,Gillian Jacobs,John Gallagher Jr.","Jacob Chase,Jacob Chase",3150000,,https://fr.web.img6.acsta.net/c_310_420/pictures/20/10/15/10/36/3508345.jpg,u.s.a.,2020/11/2020 au 2/11/2020,,,0,come play,pas de titre original
"Kinda Aloush,Hala Zein,Samir Almasri","Soudade Kaadan,Soudade Kaadan",3771,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/04/28/10/01/2179569.jpg,syrie,21/06/2023 au 28/06/2023,,pyramide distribution,0,nezouh,pas de titre original
"Gérard Depardieu,Déborah Lukumuena,Lucas Mortier","Constance Meyer,Constance Meyer,Marcia Romano",17245,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/06/13/12/05/1499832.jpg,france,02/03/2022 au 9/03/2022,,diaphana distribution,0,robuste,pas de titre original
"B.J. Novak,Boyd Holbrook,Lio Tipton","B.J. Novak,B.J. Novak",1750000,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/07/11/10/07/1957253.jpg,u.s.a.,2022/08/2022 au 1/08/2022,,,0,vengeance,pas de titre original
" Cocomi,Shinobu Ôtake,Izumi Ishii","Ayumu Watanabe,Satomi Ohshima",15105,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/01/05/08/26/1092494.jpg,japon,08/06/2022 au 15/06/2022,,eurozoom,0,la chance sourit à madame nikuko,gyokou no nikuko-chan
"Rose Williams,Emma Rigby,Charlie Carrick","Corinna Faith,Corinna Faith",17761,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/12/16/10/16/2450285.jpg,grande-bretagne,16/02/2022 au 23/02/2022,,alba films,0,the power,pas de titre original
"Ciomara Morais,Angelo Torres","José Miguel Ribeiro,José Eduardo Agualusa,Virgílio Almeida",2845,,https://fr.web.img4.acsta.net/c_310_420/pictures/23/02/20/15/35/5971470.jpg,portugal,08/03/2023 au 15/03/2023,,urban distribution,0,nayola,pas de titre original
"Logann Antuofermo,Oulaya Amamra,André Wilms","Philippe Garrel,Philippe Garrel,Jean-Claude Carrière",5416,,https://fr.web.img2.acsta.net/c_310_420/pictures/20/02/06/16/35/4774490.jpg,france,15/07/2020 au 22/07/2020,,ad vitam,0,le sel des larmes,pas de titre original
"Anthony Ramos,Melissa Barrera,Leslie Grace","Jon M. Chu,Quiara Alegria Hudes",27128,,https://fr.web.img5.acsta.net/c_310_420/pictures/21/05/28/19/59/2784585.jpg,u.s.a.,23/06/2021 au 30/06/2021,,warner bros. france,0,d'où l'on vient,in the heights
"Jhojan Estiven Jimenez,Maicol Andrés Jimenez Zarabanda,Wismer Vasquez","Andrés Ramirez Pulido,Andrés Ramirez Pulido",2876,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/03/02/15/20/2658294.jpg,colombie,22/03/2023 au 29/03/2023,,pyramide distribution,0,l'éden,la jauría
"Mugi Kadowaki,Kiko Mizuhara,Kengo Kora","Yukiko Sode,Yukiko Sode",28303,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/02/17/10/57/1308014.jpg,japon,30 mars au 6 avril 2022,,art house,0,aristocrats,anoko wa kizoku
"Iman Sayad Borhani,Payar Allahyari,Masoumeh Beygi","Emad Aleebrahim Dehkordi,Emad Aleebrahim Dehkordi",9284,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/02/02/10/24/5628153.jpg,france,22 février au 1 mars 2023,,jour2fête,0,chevalier noir,a tale of shemroon
"Noah Levi,Elise Eikermann,Senta Berger","Ute von Münchow-Pohl,Katja Grübel,Dagmar Rehbinder",49805,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/01/21/11/22/5653156.jpg,allemagne,13/04/2022 au 20/04/2022,,kmbo,0,max et emmy : mission pâques,die häschenschule 2 - der große eierklau
,"Dace Riduze,Maris Brinkmanis,Dace Riduze,Māris Putniņš",9376,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/12/29/14/57/5092659.jpg,lettonie,23/03/2022 au 30/03/2022,,cinéma public films,0,le grand jour du lièvre,pas de titre original
"José Calcina,Luisa Quispe,Santos Choque","Alejandro Loayza Grisi,Alejandro Loayza Grisi",8948,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/05/03/14/15/1365432.jpg,bolivie,11/05/2022 au 18/05/2022,,condor distribution,0,utama : la terre oubliée,utama
"Teyana Taylor,Josiah Cross,William Catlett","A.V. Rockwell,A.V. Rockwell",1795695,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/03/03/09/56/1230864.jpg,u.s.a.,2023/04/2023 au 3/04/2023,,,0,a thousand and one,pas de titre original
"Gary Oldman,Greg Kinnear,Evangeline Lilly","Nicholas Jarecki,Nicholas Jarecki",190649,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/07/21/12/11/2260356.png,u.s.a.,2021/03/2021 au 1/03/2021,,metropolitan filmexport,0,crisis,pas de titre original
"Jean-Christophe Folly,Pascal Tagnati,Cédric Appietto","Pascal Tagnati,Pascal Tagnati",9083,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/03/14/16/50/1177911.jpg,france,20/04/2022 au 27/04/2022,,new story,0,i comete,pas de titre original
"Nuria Lestegás,Sara Ferro (II),Xoán Reices","Samuel M. Delgado,Helena Girón,Helena Girón,Samuel M. Delgado",114,,https://fr.web.img5.acsta.net/c_310_420/pictures/23/11/15/17/01/4822382.jpg,espagne,03/01/2024 au 10/01/2024,,ed distribution,0,un corps sous la lave,eles transportan a morte
"François Rivière (II),Luc Chessel,Pauline Belle","Louis Seguin,Louis Seguin,Simon Cornaz",209,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/05/10/10/47/5137274.jpg,france,05/07/2023 au 12/07/2023,,hippocampe productions,0,marinaleda,pas de titre original
"Diane Keaton,Jane Fonda,Candice Bergen","Bill Holderman,Erin Simms,Bill Holderman",6500000,,https://fr.web.img6.acsta.net/c_310_420/pictures/23/02/09/09/38/0256745.jpg,u.s.a.,12/05/2023 au 15/05/2023,,,0,book club: the next chapter,pas de titre original
"Luise Aschenbrenner,Christa Théret,Leonard Kunz","Matthias Luthardt,Sebastian Bleyl,Matthias Luthardt",1215,,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/06/09/24/5924413.jpg,france,05/07/2023 au 12/07/2023,,pyramide distribution,0,luise,pas de titre original
"Flaka Latifi,Uratë Shabani,Era Balaj","Luàna Bajrami,Luàna Bajrami",4342,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/07/05/15/45/1472206.jpg,kosovo,27 avril au 4 mai 2022,,le pacte,0,la colline où rugissent les lionnes,luaneshat et kodrës
"Stacy Martin,Vincent Dedienne,Maria Apostolakea","Nafsika Guerry-Karamaounas,Nafsika Guerry-Karamaounas,Chloé Larouchi",10645,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/06/16/15/39/3345438.jpg,france,06/07/2022 au 13/07/2022,,pyramide distribution,0,i love greece,pas de titre original
"Swamy Rotolo,Claudio Rotolo,Grecia Rotolo","Jonas Carpignano,Jonas Carpignano",14821,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/03/08/15/07/4010499.jpg,italie,13/04/2022 au 20/04/2022,,haut et court,0,a chiara,pas de titre original
"Mickey Rourke,Tonia Sotiropoulou,Alexander Petrov (I)","Yelena Popovic,Yelena Popovic",1515,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/02/04/12/10/1264897.jpg,grèce,09/03/2022 au 16/03/2022,,saje distribution,0,l'homme de dieu,man of god
"Gimi Covaci,Noémie Merlant,Sanda Codreanu","Noémie Merlant,Noémie Merlant,Gimi Covaci",7225,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/06/14/11/32/4288630.jpg,france,27 juillet au 3 août 2022,,tandem,0,mi iubita mon amour,pas de titre original
" Ice-T,Robert Clohessy,Jules Willcox",,15938,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/04/12/15/48/5003233.jpg,u.s.a.,07/05/2021 au 10/05/2021,,,0,united fight,equal standard
,"Vincent Patar,Stéphane Aubier",3507,,https://fr.web.img3.acsta.net/c_310_420/pictures/23/06/06/14/10/1278398.jpg,belgique,07/06/2023 au 14/06/2023,,cinéma public films,0,les grandes vacances de cowboy et indien,pas de titre original
"Lucas Till,Lucy Hale,Lex Scott Davis","Barry Alexander Brown,Barry Alexander Brown",9703,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/01/14/14/36/4244236.jpg,u.s.a.,16/03/2022 au 23/03/2022,,star invest films france,0,un fils du sud,son of the south
"Igor Van Dessel,Ana Girardot,Jérémie Elkaïm","Dominique Lienhard,Dominique Lienhard",2728,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/07/05/11/57/4925014.jpg,france,03/08/2022 au 10/08/2022,,dulac distribution,0,des feux dans la nuit,pas de titre original
"Michael B. Jordan,Chanté Adams,Tamara Tunie","Denzel Washington,Virgil Williams,John Burnham Schwartz",1175000,,https://fr.web.img6.acsta.net/c_310_420/pictures/21/08/20/10/45/2658941.jpg,u.s.a.,31 décembre au 3 janvier 2022,,,0,a journal for jordan,pas de titre original
"Jafar Panahi,Naser Hashemi,Vahid Mobasheri","Jafar Panahi,Jafar Panahi",28234,,https://fr.web.img5.acsta.net/c_310_420/pictures/22/10/18/16/29/4486885.jpg,iran,23/11/2022 au 30/11/2022,,arp sélection,0,aucun ours,khers nist
"Dave Grohl,Taylor Hawkins,Nate Mendel","BJ McDonnell,Jeff Buhler,Rebecca Hughes",1580000,,https://fr.web.img4.acsta.net/c_310_420/pictures/21/11/09/13/03/3629021.jpg,u.s.a.,25/02/2022 au 28/02/2022,,,0,studio 666,pas de titre original
"Alba Rohrwacher,Maayane Conti,Giovanna Ralli","Jasmine Trinca,Jasmine Trinca,Francesca Manieri",1841,,https://fr.web.img3.acsta.net/c_310_420/pictures/22/06/07/16/40/3921435.jpg,italie,27 juillet au 3 août 2022,,rezo films,0,marcel !,pas de titre original
"Philippe Larcher,Ruby Minard,Sylvain Urban","Jean Heches,Jean Heches,Philippe Larcher",495,,https://fr.web.img6.acsta.net/c_310_420/pictures/22/02/16/16/32/0424921.jpg,france,18/05/2022 au 25/05/2022,,septième factory,0,memento mori,pas de titre original
"Demyana Nassar,Samy Bassouny,Fady Mina Fawzy","Omar El Zohairy,Ahmed Amer (II),Omar El Zohairy",5471,,https://fr.web.img4.acsta.net/c_310_420/pictures/22/03/03/12/04/4342626.jpg,france,23/03/2022 au 30/03/2022,,dulac distribution,0,plumes,feathers
