titre,score,nbre_vote,genres,langue,pays,pegi,duree,annee,popularite_score,director,scenaristes,casting_principal,casting_complet,budget
Blue Star,"7,0","1,1 k","['Comédie', 'Drame', 'Sport']",['Tamoul'],['Inde'],2h 46min,0,2024,['No Popularity Score'],S. Jayakumar,S. Jayakumar,"['S. Jayakumar', 'S. Jayakumar', 'Tamizh Prabha']","['Ashok Selvan', 'Dhivya Dhuraisamy', 'Kumaravel', 'Keerthi Pandian', 'Lizzie Antony', 'Shanthnu Bhagyaraj', 'Bagavathi Perumal', 'Mullai Arasi', 'Shajji', 'Prithvi Pandiarajan', 'Arun Balaji', 'Jeyachandran', 'Balaji', 'Jeyaperumal', 'Raghav', 'Pashanam Shaji', 'Damu']",['No budget']
Brighton 4th,"6,8",989,"['Comédie', 'Drame']","['Géorgien', 'Russe', 'Kazakh', 'Anglais']","['Géorgie', 'Russie', 'Bulgarie', 'États-Unis', 'Monaco']",1h 30min,0,2021,['No Popularity Score'],Levan Koguashvili,Levan Koguashvili,"['Levan Koguashvili', 'Boris Frumin', 'Casting principal']","['Levan Tedaishvili', 'Giorgi Tabidze', 'Nadezhda Mikhalkova', 'Kakhi Kavsadze', 'Laura Rekhviashvili', 'Tsutsa Kapanadze', 'Irakli Kavsadze', 'Tolepbergen Baisakalov', 'Temur Gvalia', 'Irma Gachechiladze', 'Mary Caputo', 'Lew Gardner', 'Giorgi Kipshidze', 'Yuri Zur', 'Artur Dubetskiy', 'Vsevolod Berkolayko', 'Aleksandr Karlov', 'Tornike Bziava']",1 200 000 $US (estimé)
Titre non trouvé,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,0,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
My Kid,"7,1",544,['Drame'],['Hébreu'],"['Israël', 'Italie']",1h 34min,0,2020,['No Popularity Score'],Nir Bergman,Nir Bergman,"['Nir Bergman', 'Dana Idisis', 'Casting principal']","['Shai Avivi', 'Noam Imber', 'Smadi Wolfman', 'Efrat Ben-Zur', 'Amir Feldman', 'Sharon Zelikovsky', 'Natalia Faust', 'Uri Klauzner', 'Avraham Shalom Levi', 'Omri Levi', 'Avi Madar', 'Rony Gammer', 'Davit Gavish', 'Yaron Levi Sabag', 'Omri David', 'Guilad Hazav']",['No budget']
Face à la mer,"6,0",160,['Drame'],['Arabe'],"['Liban', 'Belgique', 'France', 'États-Unis', 'Qatar']",1h 56min,0,2021,['No Popularity Score'],Ely Dagher,Ely Dagher,"['Ely Dagher', 'Ely Dagher', 'Casting principal']","['Manal Issa', 'Roger Azar', 'Yara Abou Haidar', 'Rabih El Zaher', 'Fadi Abi Samra', 'Joseph Sassine', 'Issam Said', 'Aline Mrad', 'Michel Awad', 'Nancy El Murr', 'Dolly Al Chediak', 'Sarah Salman', 'Mohamad Yassine', 'Ziad Ghanem', 'Mony Haddouni']",['No budget']
Van Gogh in Love,"6,7",55,['Comédie'],['Français'],['France'],1h 33min,0,2021,['No Popularity Score'],Jean-Luc Ayach,Jean-Luc Ayach,"['Jean-Luc Ayach', 'Jean-Luc Ayach', 'Casting principal']","['Frédéric Diefenthal', 'Hande Kodja', 'Steve Driesen', 'Marie Borg', 'Ginnie Watson', 'Arsène Jiroyan', 'Claude Barreau', 'Edwin Krüger', 'Angie Jacquot', 'Jean-Luc Ayach', 'Laurence Grout', 'Marie Matin', 'Diana Rudychenko', 'Eugene Izraylit', 'Mohamed Zemaich', 'Jean-Pierre Delgado', 'Benjamin Zeitoun', 'Valeria Dafarra']",['No budget']
Anima Bella,"6,8",37,['Drame'],['Italien'],['Italie'],1h 35min,0,2021,['No Popularity Score'],Dario Albertini,Dario Albertini,"['Dario Albertini', 'Dario Albertini', 'Simone Ranucci']","['Giustina Buonomo', 'Yuri Casagrande Conti', 'Enzo Casertano', 'Francesca Chillemi', 'Piera Degli Esposti', 'Adelaide Di Fabio', 'Madalina Di Fabio', 'Paola Lavini', 'Mimmo Mancini', 'Anna Manuelli', 'Luciano Miele', 'Frankino Murgia', 'Antonio Noto', 'Anna Olivieri', 'Giancarlo Porcacchia', 'Lilith Primavera', 'Elisabetta Rocchetti', 'Erasmo Sabatini']",['No budget']
Employé/patron,"6,5",201,['Drame'],"['Espagnol', 'Portugais', 'Français']","['Uruguay', 'Argentine', 'Brésil', 'France']",1h 46min,0,2021,['No Popularity Score'],Manolo Nieto,Manolo Nieto,"['Manolo Nieto', 'Manolo Nieto', 'Casting principal']","['Nahuel Pérez Biscayart', 'Cristian Borges', 'Justina Bustos', 'Fatima Quintanilla', 'Jean Pierre Noher', 'Carlos Lacuesta', 'Roberto Oliveira', 'Carlos Teliz', 'Rafael Sosa Zeballos', 'José Victor Castiel', 'Ernesto Liotti', 'Diego Richard Torbay', 'Yany da Cunha', 'Virginia Méndez', 'Aterna Pessoa', 'Iluska Moura', 'Carmen Geronimo', 'Edgardo Almenar']",['No budget']
Théo et les métamorphoses,"5,7",79,['Drame'],['Français'],"['France', 'Suisse']",12,1h 36min,2021,['No Popularity Score'],Damien Odoul,Damien Odoul,"['Damien Odoul', 'Damien Odoul', 'Casting principal']","['Theo Kermel', 'Pierre Meunier', 'Sonia Gondry', 'Vanda Tilseein', 'Ayumi Roux', 'Louise Morin', 'Damien Odoul', 'Elia Sulem', 'Ethan Dabo', 'Patrick de Valette', 'Erwan Vincini', 'Christophe Pantel']",['No budget']
Souterrain,"6,6",422,['Drame'],['Français'],['Canada'],1h 37min,0,2020,['No Popularity Score'],Sophie Dupuis,Sophie Dupuis,"['Sophie Dupuis', 'Sophie Dupuis', 'Casting principal']","['Joakim Robillard', 'Jean-François Boudreau', 'Guillaume Cyr', 'Chantal Fontaine', 'Maxime Genois', 'Mickaël Gouin', 'Brad Gros-Louis', 'Lauren Hartley', 'Charles-Aubey Houde', 'James Hyndman', 'Virgil Héroux-Laferté', ""Robin L'Houmeau"", ""Jean L'Italien"", 'Sébastien Leblanc', 'Bruno Marcil', 'Théodore Pellerin', 'Brigitte Tremblay', 'Catherine Trudeau']",['No budget']
Monster Family: En route pour l'aventure,"4,9","1,2 k","['Animation', 'Comédie', 'Famille']","['Allemand', 'Anglais']","['Allemagne', 'Royaume-Uni']",Tous publics,1h 43min,2021,['No Popularity Score'],Holger Tappe,Holger Tappe,"['Holger Tappe', 'Scénario', 'Kirstie Falkous']","['Emily Carey', 'Jason Isaacs', 'Rainer Fritzsche', 'Bernhard Völger', 'Marius Claren', 'Ethan Rouse', 'Nick Frost', 'Emily Watson', 'Rebecca Kamp', 'Emma Tate', 'Ewan Bailey', 'Catherine Tate', 'Matt Roberts', 'Daniel Ben Zenou', 'Oliver Kalkofe', 'Tilo Schmitz', 'Jessica Brown Findlay', 'Jan Makino']",['No budget']
Varisu,"6,0",38 k,"['Action', 'Drame']",['Tamoul'],['Inde'],Tous publics,2h 49min,2023,['No Popularity Score'],Vamshi Paidipally,Vamshi Paidipally,"['Vamshi Paidipally', 'Scénario', 'Vamshi Paidipally']","['Joseph Vijay', 'Rashmika Mandanna', 'Shaam', 'Prabhu', 'R. Sarathkumar', 'Prakash Raj', 'Meka Srikanth', 'Jayasudha', 'Yogi Babu', 'Sangeetha', 'Samyuktha Shanmughanathan', 'Ganesh Venkatraman', 'Sriman', 'VTV Ganesh', 'Suman', 'Sathish', 'Chandrasekar Koneru', 'Nandini Rai']",1 750 000 000 ₹ (estimé)
M le maudit,"8,3",168 k,"['Policier', 'Mystère', 'Thriller']",['Allemand'],['Allemagne'],Tous publics,1h 58min,1931,2 539,Fritz Lang,Fritz Lang,"['Fritz Lang', 'Thea von Harbou', 'Fritz Lang']","['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke', 'Theodor Loos', 'Gustaf Gründgens', 'Friedrich Gnaß', 'Fritz Odemar', 'Paul Kemp', 'Theo Lingen', 'Rudolf Blümner', 'Georg John', 'Franz Stein', 'Ernst Stahl-Nachbaur', 'Gerhard Bienert', 'Karl Platen', 'Rosa Valetti', 'Hertha von Walther']",['No budget']
On-Gaku : Notre rock !,"7,3",895,"['Animation', 'Comédie', 'Drame']",['Japonais'],['Japon'],Not Rated,1h 11min,2019,['No Popularity Score'],Kenji Iwaisawa,Kenji Iwaisawa,"['Kenji Iwaisawa', 'Hiroyuki Ohashi', 'Kenji Iwaisawa']","['Shintarô Sakamoto', 'Ren Komai', 'Tomoya Maeno', 'Tateto Serizawa', 'Kami Hiraiwa', 'Naoto Takenaka', 'Yasuyuki Okamura']",40 000 $US (estimé)
Anatomy of Time,"6,2",247,['Drame'],['Thai'],"['Thaïlande', 'France', 'Pays-Bas', 'Singapour']",1h 58min,0,2021,['No Popularity Score'],Jakrawal Nilthamrong,Jakrawal Nilthamrong,"['Jakrawal Nilthamrong', 'Jakrawal Nilthamrong', 'Casting principal']","['Nopachai Chaiyanam', 'Sorabodee Changsiri', 'Paopoom Chiwarak', 'Prapamonton Eiamchan', 'Thaveeratana Leelanuja', 'Wanlop Rungkumjad', 'Rawipa Srisanguan']",['No budget']
Jigarthanda DoubleX,"8,1","8,9 k","['Action', 'Comédie', 'Drame']","['Tamoul', 'Hindi', 'Telugu', 'Kannada', 'Malayalam']",['Inde'],2h 52min,0,2023,['No Popularity Score'],Karthik Subbaraj,Karthik Subbaraj,"['Karthik Subbaraj', 'Karthik Subbaraj', 'Casting principal']","['Raghava Lawrence', 'S.J. Suryah', 'Nimisha Sajayan', 'Ilavarasu', 'Naveen Chandra', 'Sathyan', 'Sanjana Natrajan', 'Shine Tom Chacko', 'Aravind Akash', 'Ashraf Mallissery', 'Vidhu', 'Kapila Venu', 'Aranganathan', 'Adithya Bhaskar', 'Bava Chelladurai', 'Bhavaa Chelladurai', 'Vishnu Govind', 'Jaikumar']",['No budget']
L'anniversaire de Tommy,"5,4",53,['Animation'],['Anglais'],"['Allemagne', 'Pays-Bas', 'Suède']",1h 14min,0,2021,['No Popularity Score'],Michael Ekbladh,Michael Ekbladh,"['Michael Ekbladh', 'Rotraut Susanne Berner', 'Aje Brücken']","['Jonathan Bailey', 'Jennifer Saunders', 'Adrian Edmondson', 'Harry Capper Wright', 'Ahmed Max', 'Finn Vogels']",['No budget']
The Broken Hearts Gallery,"6,3",10 k,"['Comédie', 'Romantique']",['Anglais'],"['États-Unis', 'Canada']",PG-13,1h 49min,2020,['No Popularity Score'],Natalie Krinsky,Natalie Krinsky,"['Natalie Krinsky', 'Natalie Krinsky', 'Casting principal']","['Geraldine Viswanathan', 'Dacre Montgomery', 'Utkarsh Ambudkar', 'Molly Gordon', 'Phillipa Soo', 'Suki Waterhouse', 'Sheila McCarthy', 'Bernadette Peters', 'Nathan Dales', 'Ego Nwodim', 'Megan Ferguson', 'Nikki Duval', 'Emma Hunter', 'Taylor Hill', 'Roy Choi', 'Tattiawna Jones', 'Arturo Castro', 'Tricia Black']",['No budget']
"Grandir, c'est chouette",0,0,['Animation'],['Français'],"['France', 'Belgique', 'Espagne']",52min,0,2021,['No Popularity Score'],Réalisation,Réalisation,"['Réalisation', 'Arnaud Demuynck', 'Irene Iborra']",['No Casting'],['No budget']
Miss Marx,"5,8","1,1 k","['Biographique', 'Drame', 'Historique']","['Anglais', 'Allemand']","['Italie', 'Belgique']",1h 47min,0,2020,['No Popularity Score'],Susanna Nicchiarelli,Susanna Nicchiarelli,"['Susanna Nicchiarelli', 'Susanna Nicchiarelli', 'Casting principal']","['Romola Garai', 'Patrick Kennedy', 'John Gordon Sinclair', 'Felicity Montagu', 'Karina Fernandez', 'Emma Cunniffe', 'Philip Gröning', 'George Arrendell', 'Célestin Ryelandt', 'Oliver Chris', 'Alexandra Lewis', 'Georgina Sadler', 'Miel Van Hasselt', 'Freddy Drabble', 'Ludovico Benedetti', 'Stéphane Brodzki', 'Gabrielle Chiararo', 'Marco Fabbri']",['No budget']
Tinnitus,"5,3",240,"['Drame', 'Horreur', 'Sport']","['Portugais', 'Japonais']",['Brésil'],1h 45min,0,2022,['No Popularity Score'],Gregorio Graziosi,Gregorio Graziosi,"['Gregorio Graziosi', 'Marco Dutra', 'Gregorio Graziosi']","['Joana de Verona', 'Sabrina Greve', 'André Guerreiro', 'Jessica Messali', 'Indira Nascimento', 'Thaia Perez', 'Antonio Pitanga', 'Mawusi Tulani', 'Alli Willow']",['No budget']
Titre non trouvé,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,0,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
Et il y eut un matin,"6,8",415,['Drame'],"['Arabe', 'Hébreu']","['Israël', 'France']",1h 41min,0,2021,['No Popularity Score'],Eran Kolirin,Eran Kolirin,"['Eran Kolirin', 'Sayed Kashua', 'Eran Kolirin']","['Alex Bakri', 'Juna Suleiman', 'Salim Daw', 'Ehab Salami', 'Khalifa Natour', 'Samer Bisharat', 'Yara Elham Jarrar', 'Maruan Hamdan', 'Doraid Liddawi', 'Izabel Ramadan', 'Arin Saba', 'Nadib Spadi']",['No budget']
Dragon Ball Z : Broly le super guerrier,"7,4",12 k,"['Animation', 'Action', 'Fantastique']",['Japonais'],['Japon'],Tous publics,1h 12min,1993,['No Popularity Score'],Shigeyasu Yamauchi,Shigeyasu Yamauchi,"['Shigeyasu Yamauchi', 'Akira Toriyama', 'Takao Koyama']","['Masako Nozawa', 'Toshio Furukawa', 'Mayumi Tanaka', 'Takeshi Kusao', 'Ryô Horikawa', 'Hiromi Tsuru', 'Kôhei Miyauchi', 'Naoko Watanabe', 'Naoki Tatsuta', 'Hiroko Emori', 'Yasuhiko Kawazu', 'Nobutoshi Canna', 'Masaharu Satô', 'Bin Shimada', 'Iemasa Kayumi', 'Jôji Yanami', 'Vic Mignogna', 'Sean Schemmel']",['No budget']
PS 2 - Ponniyin Selvan Partie 2,"7,3",18 k,"['Action', 'Aventure', 'Drame']","['Malayalam', 'Telugu', 'Kannada', 'Tamoul']",['Inde'],Not Rated,2h 44min,2023,['No Popularity Score'],Mani Ratnam,Mani Ratnam,"['Mani Ratnam', 'Sruti Harihara Subramanian', 'Scénario']","['Vikram', 'Karthi', 'Jayam Ravi', 'Aishwarya Rai Bachchan', 'Trisha Krishnan', 'Sobhita Dhulipala', 'Aishwarya Lekshmi', 'Jayaram', 'R. Sarathkumar', 'Parthiban Radhakrishnan', 'Prabhu', 'Prakash Raj', 'Rahman', 'Kishore Kumar G.', 'Lal', 'Nizhalgal Ravi', 'Nassar', 'Vikram Prabhu']",['No budget']
Nana et les filles du bord de mer,"5,3",23,"['Comédie', 'Drame']",['Français'],['France'],Tous publics,1h 18min,2020,['No Popularity Score'],Patricia Bardon,Patricia Bardon,"['Patricia Bardon', 'Patricia Bardon', 'Casting principal']","['Sofiia Manousha', 'Grégoire Isvarine', 'Héloïse Roth', 'Guilhem Valayé', 'Laure Millet', 'Fabien Kachev', 'Marie Fonteijn', 'Arnaud Rincy', 'Jean-Michel Doliger', 'Philippe Sturbelle', 'Toni Gaudin']",['No budget']
Tant pis pour le Sud,0,0,['Comédie'],['Français'],['France'],1h 44min,0,2022,['No Popularity Score'],Vincent Orst,Vincent Orst,"['Vincent Orst', 'Vincent Orst', 'Casting principal']","['Cédrick Spinassou', 'Alex Blanchard', 'Tony Zarouel', 'Achille Ndari', ""Thomas Jeand'Heur"", 'Marius Renier', 'Ambre Rochard', 'Alix Bénézech', 'Margaux Billard', 'Corinne Pastout', 'Jean-François Pastout', 'Pierre Pirol', 'Christian Abart', 'Guillaume Mattera', 'Lola S. Frey', 'Cassandre Dagon', 'Pascal Soetens', 'Thalya Raymond']",['No budget']
L'indomptable feu du printemps,"7,3","1,4 k",['Drame'],['Sotho'],"['Afrique du Sud', 'Italie', 'États-Unis', 'Lesotho']",Tous publics,2h,2019,['No Popularity Score'],Lemohang Jeremiah Mosese,Lemohang Jeremiah Mosese,"['Lemohang Jeremiah Mosese', 'Lemohang Jeremiah Mosese', 'Casting principal']","['Mary Twala', 'Jerry Mofokeng', 'Makhaola Ndebele', 'Tseko Monaheng', 'Siphiwe Nzima-Ntskhe', 'Thabiso Makoto', 'Thabo Letsie', 'Silas Monyatse', 'Aleandro Florio', 'Sarah Weber']",['No budget']
Le Noël de Petit Lièvre Brun,"7,0",9,['Famille'],['Anglais'],['Australie'],2017,Tous publics,Téléfilm,['No Popularity Score'],Jo Boag,Jo Boag,"['Jo Boag', 'David Evans', 'Jo Boag']",['No Casting'],['No budget']
En attendant la neige,0,0,['Aventure'],['Français'],['France'],Tous publics,1h 30min,1998,['No Popularity Score'],Antonio Olivares,Antonio Olivares,"['Antonio Olivares', 'Killy Olivares', 'Scénario']","['Driss El Haddaoui', 'Jalil Naciri', 'Emmanuelle Bach', 'Marc Andréoni', 'Ali Boukhéli', 'Laurent Gauthier', 'Jean-Luc Abel', 'Antonio Olivares', 'Gilia Pallas', 'Julia Vaidis-Bogard', 'Abel Jafri']",['No budget']
Le Prince d'Égypte,"7,2",146 k,"['Animation', 'Aventure', 'Drame']","['Anglais', 'Hébreu', 'Russe', 'Ukrainien']","['États-Unis', 'Canada']",Tous publics,1h 39min,1998,558,Brenda Chapman,Brenda Chapman,"['Brenda Chapman', 'Steve Hickner', 'Simon Wells']","['Val Kilmer', 'Ralph Fiennes', 'Michelle Pfeiffer', 'Sandra Bullock', 'Jeff Goldblum', 'Danny Glover', 'Patrick Stewart', 'Helen Mirren', 'Steve Martin', 'Martin Short', 'Bobby Motown', 'Eden Riegel', 'Ofra Haza', 'James Avery', 'Aria Noelle Curzon', 'Stephanie Sawyer', 'Francesca Marie Smith', 'Shira Roth']",70 000 000 $US (estimé)
Atarrabi & Mikelats,"5,7",99,"['Drame', 'Fantastique']",['Basque'],"['France', 'Belgique']",2h 3min,0,2020,['No Popularity Score'],Eugène Green,Eugène Green,"['Eugène Green', 'Eugène Green', 'Casting principal']","['Saia Hiriart', 'Lukas Hiriart', 'Ainara Leemans', 'Thierry Biscary', 'Pablo Lasa']",['No budget']
The Beta Test,"6,1","6,3 k","['Comédie', 'Drame', 'Mystère']","['Anglais', 'Suédois']","['États-Unis', 'Royaume-Uni']",12,1h 33min,2021,['No Popularity Score'],Jim Cummings,Jim Cummings,"['Jim Cummings', 'PJ McCabe', 'Jim Cummings']","['Jim Cummings', 'Virginia Newcomb', 'PJ McCabe', 'Wilky Lau', 'Olivia Grace Applegate', 'Jacqueline Doke', 'Lya Yanne', 'Jessie Barr', 'Bridge Stuart', 'Keith Powell', 'Jackie Michele Johnson', 'Malin Barr', 'Brayden Reeves', 'Kevin Changaris', 'Dustin Hahn', 'Ammar Aldieri', 'Christian Hillborg', 'Joy Sunday']",['No budget']
To Kill the Beast,"5,1",300,"['Drame', 'Fantastique', 'Mystère']","['Espagnol', 'Portugais']","['Argentine', 'Brésil', 'Chili']",1h 19min,0,2021,['No Popularity Score'],Agustina San Martín,Agustina San Martín,"['Agustina San Martín', 'Agustina San Martín', 'Casting principal']","['Tamara Rocca', 'Ana Brun', 'João Miguel', 'Julieth Micolta', 'Kaique Jesús', 'Sabrina Grinschpun', 'Carlos Griebler', 'Melanie Gamoral', 'Ariel Lorenzo', 'Ian Kiefer', 'Federico De Elías Bevacqua', 'Anyela Soto', 'Alan Silvero', 'Albina Curi', 'Alejandro Coronel', 'Anabella Tocci', 'Iván Andruszyszyn', 'Antonella De Las Nieves Fariña']",['No budget']
Le grand mouvement,"6,5",315,['Drame'],['Espagnol'],"['Bolivie', 'Qatar', 'France', 'Suisse', 'Royaume-Uni']",Tous publics,1h 25min,2021,['No Popularity Score'],Kiro Russo,Kiro Russo,"['Kiro Russo', 'Kiro Russo', 'Casting principal']","['Max Bautista Uchasara', 'Julio César Ticona', 'Israel Hurtado', 'Gustavo Milán Ticona', 'Francisa Arce de Aro', 'Ricardo Aguilera', 'Marcela Chambi', 'Marlene Pinto', 'Carmen Quisbert', 'Armando Ochoa']",['No budget']
Memory House,"5,8",377,['Drame'],"['Portugais', 'Allemand']","['Brésil', 'France']",Unrated,1h 27min,2020,['No Popularity Score'],João Paulo Miranda Maria,João Paulo Miranda Maria,"['João Paulo Miranda Maria', 'João Paulo Miranda Maria', 'Casting principal']","['Antonio Pitanga', 'Ana Flavia Cavalcanti', 'Sam Louwyck', 'Soren Hellerup', 'Aline Marta Maia']",['No budget']
Bob's Burgers: Le Film,"7,0",21 k,"['Animation', 'Aventure', 'Comédie']","['Anglais', 'Allemand']","['Irlande', 'États-Unis', 'Chine', 'Australie', 'Royaume-Uni', 'Canada', 'Taïwan', 'Mexique', 'Corée du Sud', 'Danemark']",10,1h 42min,2022,['No Popularity Score'],Loren Bouchard,Loren Bouchard,"['Loren Bouchard', 'Bernard Derriman', 'Loren Bouchard']","['H. Jon Benjamin', 'Kristen Schaal', 'Dan Mintz', 'John Roberts', 'Eugene Mirman', 'David Wain', 'Zach Galifianakis', 'Kevin Kline', 'Larry Murphy', 'Gary Cole', 'Paul F. Tompkins', 'John Q. Kubin', 'Nick Kroll', 'Craig Anton', 'David Herman', 'Jaime Moyer', 'Brian Huskey', 'Bobby Tisdale']",38 000 000 $US (estimé)
Elle s'appelle Barbara,"6,2",58,['Drame'],"['Arabe', 'Français', 'Portugais']",['Portugal'],1h 19min,0,2022,['No Popularity Score'],Sérgio Tréfaut,Sérgio Tréfaut,"['Sérgio Tréfaut', 'Sérgio Tréfaut', 'Casting principal']","['Joana Bernardo', 'Hussein Hassan Ali', 'Rekish Shahbaz', 'Saman Mustefa', 'Adil Abdolrahman', 'Naima Abdo', 'Adil Abdulrahman', 'Fatma Ali', 'Zirek', 'Makena Diop', 'Dinis Gomes', 'Suad Salih', 'Dilpak Majeed', 'Bangen Ali', 'Abdilqadir Bamarni', 'Hugo Bentes', 'Lola Dueñas', 'Havi Sherzad']",['No budget']
Jailer,"7,1",34 k,"['Action', 'Comédie', 'Policier']",['Tamoul'],['Inde'],Not Rated,2h 48min,2023,['No Popularity Score'],Nelson Dilipkumar,Nelson Dilipkumar,"['Nelson Dilipkumar', 'Nelson Dilipkumar', 'Casting principal']","['Rajinikanth', 'Mohanlal', 'Shivarajkumar', 'Jackie Shroff', 'Ramya Krishnan', 'Vinayakan', 'Tamannaah Bhatia', 'Sunil', 'Vasanth Ravi', 'Yogi Babu', 'Kishore Kumar G.', 'Nagendra Babu', 'Jaffer Sadiq', 'G. Marimuthu', 'VTV Ganesh', 'Redin Kingsley', 'Sunil Reddy', 'Mirnaa']",['No budget']
Un soupçon d'amour,"5,9",63,['Drame'],['Français'],['France'],Tous publics,1h 32min,2020,['No Popularity Score'],Paul Vecchiali,Paul Vecchiali,"['Paul Vecchiali', 'Paul Vecchiali', 'Casting principal']","['Marianne Basler', 'Fabienne Babe', 'Jean-Philippe Puymartin', 'Ferdinand Leclère', 'Pierre Sénélas', 'Marie-Christine Hervy', 'Geneviève Montaigu', 'Julien Lucq', 'Adriana Lucq', 'Jean-Luc Magnan', 'Alain Laub', 'Bruno Guyet', 'Frédéric Pieretti', 'Astrid Adverbe', 'Paul Vecchiali']",['No budget']
Hikikomori,"7,3",7,"['Drame', 'Fantastique']",['Français'],['France'],1h 15min,0,2021,['No Popularity Score'],Sophie Attelann,Sophie Attelann,"['Sophie Attelann', 'Sophie Attelann', 'Casting principal']","['Morgado Alice', 'Chantal Baroin', 'Séverine Berthelot', 'Coline Chantrel', 'Marianne Chevallier', 'Veronicka De Matos', 'Roditi Denis', 'Gigi Ledron', 'Jeremy Margallé', 'Fournier Nicolas', 'Colette Roche', 'Karine Ventalon']",['No budget']
Scott Pilgrim prend son envol,"7,7",17 k,"['Animation', 'Action', 'Aventure']",['Anglais'],"['Royaume-Uni', 'États-Unis', 'Japon', 'Canada']",2023,TV-MA,Mini-série télévisée,1 178,Casting principal,Casting principal,"['Casting principal', 'Michael Cera', 'Mary Elizabeth Winstead']","['Michael Cera', 'Mary Elizabeth Winstead', 'Satya Bhabha', 'Kieran Culkin', 'Chris Evans', 'Anna Kendrick', 'Brie Larson', 'Alison Pill', 'Aubrey Plaza', 'Brandon Routh', 'Jason Schwartzman', 'Johnny Simmons', 'Mark Webber', 'Mae Whitman', 'Ellen Wong', 'Stefan Johnson', 'Alan Lee', 'Dorah Fine']",['No budget']
Vent chaud,"6,4","1,3 k",['Drame'],['Portugais'],['Brésil'],16 avec avertissement,1h 50min,2020,['No Popularity Score'],Daniel Nolasco,Daniel Nolasco,"['Daniel Nolasco', 'Daniel Nolasco', 'Casting principal']","['Leandro Faria Lelo', 'Allan Jacinto Santana', 'Renata Carvalho', 'Rafael Theophilo', 'Del Neto', 'Larissa Sisterolli', ""Marcelo D'Avilla"", 'Leo Moreira Sá', 'Candy Mel', 'Conrado Helt', 'Gabryel Batista', 'Norval Berbari', 'Klisman Borges', 'Branca Cardoso', 'Tothi Cardoso', 'Roberto de Souza', 'Isabella Cecília do Nascimento', 'José Milson Fabiano']",['No budget']
Luzzu,"6,9","1,9 k",['Drame'],"['Maltais', 'Anglais']","['États-Unis', 'Malte']",Tous publics,1h 34min,2021,['No Popularity Score'],Alex Camilleri,Alex Camilleri,"['Alex Camilleri', 'Alex Camilleri', 'Casting principal']","['Jesmark Scicluna', 'Marlene Schranz', 'David Scicluna', 'Marta Vella', 'Timur Ali', 'Michela Farrugia', 'Marcelle Theuma', 'Anthony Ellul', 'Stephen Buhagiar', 'Uday McLean', 'Royin Grech', 'Rebecca Fenech', 'Joseph Schiavone', 'Ignazio Schembri', 'Frank Tanti', 'Reece Vella', 'Joseph Agius', 'Philip Agius']",['No budget']
107 Mothers,"7,0",431,['Drame'],"['Russe', 'Ukrainien']","['Slovaquie', 'République tchèque', 'Ukraine']",1h 33min,0,2021,['No Popularity Score'],Peter Kerekes,Peter Kerekes,"['Peter Kerekes', 'Scénario', 'Ivan Ostrochovský Péter Kerekes']","['Maryna Klimova', 'Iryna Kiryazeva', 'Lyubov Vasylyna', 'Vyacheslav Vygovskyi', 'Oleksandr Mykhailov', 'Irina Tokarchuk', 'Raisa Roman', 'Tetyana Klishch', 'Iryna Petrovska', 'Vyacheslav Dovzhenko', 'Dina Krylovska', 'Tatiana Shmulevich', 'Yelyzaveta Pankevych', 'Olga Kruk', 'Tetyana Ivanova', 'Tetyana Nesterenko', 'Olga Dudinova', 'Tetyana Paraskeva']",['No budget']
Noël avec les frères Koalas,0,0,['No kind'],['No Language'],['No Country'],No Pegi,0,2022,['No Popularity Score'],['No Director'],['No Writers'],['No Casting'],['No Casting'],['No budget']
Easter Sunday,"5,3","2,6 k",['Comédie'],['Anglais'],"['États-Unis', 'Canada', 'Inde', 'Philippines']",PG-13,1h 36min,2022,['No Popularity Score'],Jay Chandrasekhar,Jay Chandrasekhar,"['Jay Chandrasekhar', 'Scénario', 'Kate Angelo']","['Jo Koy', 'Lydia Gaston', 'Brandon Wardell', 'Eva Noblezada', 'Carly Pope', 'Jay Chandrasekhar', 'Tia Carrere', 'Melody Butiu', 'Joey Guila', 'Rodney To', 'Elena Juatco', 'Eugene Cordero', 'Lou Diamond Phillips', 'Asif Ali', 'Dustin Ybarra', 'Jimmy O. Yang', 'Michael Weaver', 'Rodney Perry']",['No budget']
L'ordre moral,"6,7",286,['Drame'],['Portugais'],['Portugal'],Tous publics,1h 41min,2020,['No Popularity Score'],Mário Barroso,Mário Barroso,"['Mário Barroso', 'Carlos Saboga', 'Casting principal']","['Maria de Medeiros', 'Marcello Urgeghe', 'João Pedro Mamede', 'João Arrais', 'Albano Jerónimo', 'Julia Palha', 'Ana Padrão', 'Vera Moura', 'Dinarte Branco', 'Isabel Ruth', 'Rui Morisson', 'Teresa Madruga', 'Ana Bustorff', 'Mia Tomé', 'Dinis Gomes', 'Lilah Soares', 'Rita Rocha Silva', 'Fausto Ferro']",['No budget']
